word,parent_word
দলিয়া,দলা
ধসিয়া,ধসা
পড়িয়া,পড়া
পড়িয়া,পড়া
বখাবনিয়া,বখাবনা
বহিয়া,বহা
ভরিয়া,ভরা
মজিয়া,মজা
মলিয়া,মলা
এলিয়া,এলা
এড়িয়া,এড়া
রসিয়া,রসা
রহিয়া,রহা
রটিয়া,রটা
সঁপিয়া,সঁপা
সপিয়া,সপা
সরিয়া,সরা
সহিয়া,সহা
হটিয়া,হটা
হরিয়া,হরা
লড়িয়া,লড়া
অস্তিয়া,অস্তা
আউটিয়া,আউটা
আউরিয়া,আউরা
আওটিয়া,আওটা
উথলিয়া,উথলা
উলটিয়া,উলটা
ওখড়িয়া,ওখড়া
ওগরিয়া,ওগরা
দৌড়িয়া,দৌড়া
ঘবড়িয়া,ঘবড়া
ধমকিয়া,ধমকা
লটকিয়া,লটকা
সটকিয়া,সটকা
কুচিয়া,কুচা
খুঁজিয়া,খুঁজা
খুজিয়া,খুজা
খুঁটিয়া,খুঁটা
খুটিয়া,খুটা
খুলিয়া,খুলা
গুনিয়া,গুনা
গুঁতিয়া,গুঁতা
গুতিয়া,গুতা
গুঁড়িয়া,গুঁড়া
গুড়িয়া,গুড়া
গুছিয়া,গুছা
গুটিয়া,গুটা
গুনিয়া,গুনা
ঘুটিয়া,ঘুটা
ঘুড়িয়া,ঘুড়া
ঘুলিয়া,ঘুলা
ঘুষিয়া,ঘুষা
চুবিয়া,চুবা
ছুটিয়া,ছুটা
ছুড়িয়া,ছুড়া
জুটিয়া,জুটা
জুড়িয়া,জুড়া
ঝুলিয়া,ঝুলা
ঠুকিয়া,ঠুকা
ঠুসিয়া,ঠুসা
ঢুকিয়া,ঢুকা
ঢুলিয়া,ঢুলা
ঢুসিয়া,ঢুসা
তুলিয়া,তুলা
দুলিয়া,দুলা
দুষিয়া,দুষা
চুদিয়া,চুদা
পুষিয়া,পুষা
পুড়িয়া,পুড়া
ফুটিয়া,ফুটা
ফুরিয়া,ফুরা
বুজিয়া,বুজা
বুঝাবুনিয়া,বুঝাবুনা
ভুগিয়া,ভুগা
ভুলিয়া,ভুলা
মুছিয়া,মুছা
মুতিয়া,মুতা
মুড়িয়া,মুড়া
রুখিয়া,রুখা
লুফিয়া,লুফা
শুনিয়া,শুনা
শুষিয়া,শুষা
গুঁজিয়া,গুঁজা
গুজিয়া,গুজা
ঝুড়িয়া,ঝুড়া
টুকিয়া,টুকা
ডুবিয়া,ডুবা
যাইয়া,যাওয়া
বাইয়া,বাওয়া
গাইয়া,গাওয়া
খাইয়া,খাওয়া
পাইয়া,পাওয়া
ধাইয়া,ধাওয়া
ছোইয়া,ছোওয়া
সইয়া,সওয়া
হইয়া,হওয়া
লইয়া,লওয়া
চাইয়া,চাওয়া
রইয়া,রওয়া
কিনিয়া,কেনা
গিলিয়া,গেলা
ঘিরিয়া,ঘেরা
চিনিয়া,চেনা
ছিঁড়িয়া,ছেঁড়া
ছিড়িয়া,ছেড়া
টিকিয়া,টেকা
ফিরিয়া,ফেরা
ভিজিয়া,ভেজা
মিশিয়া,মেশা
লিখিয়া,লেখা
শিখিয়া,শেখা
মিলিয়া,মিলা
মিলিয়া,মেলা
খেপিয়া,খেপা
খেলিয়া,খেলা
ঘেষিয়া,ঘেষা
ঠেলিয়া,ঠেলা
দেখিয়া,দেখা
ফেলিয়া,ফেলা
বেচিয়া,বেচা
খেঁচিয়া,খেঁচা
খেচিয়া,খেচা
ছেঁকিয়া,ছেঁকা
ছেকিয়া,ছেকা
জিতিয়া,জেতা
ঠেকিয়া,ঠেকা
ঠেসিয়া,ঠেসা
হেলিয়া,হেলা
সেকিয়া,সেকা
কিনিয়া,কিনা
খিচিয়া,খিচা
ঘিরিয়া,ঘিরা
চিবিয়া,চিবা
ছিঁড়িয়া,ছিঁড়া
ছিড়িয়া,ছিড়া
ছিটিয়া,ছিটা
ছিনিয়া,ছিনা
জিতিয়া,জিতা
ঝিমিয়া,ঝিমা
টিকিয়া,টিকা
টিপিয়া,টিপা
ডিঙিয়া,ডিঙা
ঢিকিয়া,ঢিকা
থিতিয়া,থিতা
নিভিয়া,নিভা
পিষিয়া,পিষা
ফিরিয়া,ফিরা
বিকিয়া,বিকা
ভিজিয়া,ভিজা
ভিড়ামিশিয়া,ভিড়ামিশা
লিখিয়া,লিখা
সেঁচিয়া,সেঁচা
সেচিয়া,সেচা
ঝুড়িয়া,ঝোড়া
পুষিয়া,পোষা
মুছিয়া,মোছা
মুড়িয়া,মোড়া
বুজিয়া,বোজা
রুপিয়া,রোপা
কুটিয়া,কোটা
খুঁজিয়া,খোঁজা
খুজিয়া,খোজা
খুলিয়া,খোলা
গুনিয়া,গােনা
ঘুরিয়া,ঘােরা
ছুটিয়া,ছােটা
জুটিয়া,জোটা
জুড়িয়া,জোড়া
ঠুকিয়া,ঠোকা
দুলিয়া,দোলা
দুষিয়া,দোষা
পুড়িয়া,পােড়া
ফুঁসিয়া,ফোঁসা
ফুসিয়া,ফোসা
ফুটিয়া,ফোটা
বুঝিয়া,বােঝা
বুনিয়া,বােনা
ভুলিয়া,ভােলা
মুছিয়া,মােছা
শুনিয়া,শােনা
