word,parent_word,tense,person,negation
আউটাতে থাকবেন,আউটানো,gv,ap,0
আউটাতে থাকবেন,আউটানো,gv,eR,0
আউটাতে থাকবেন,আউটানো,gv,in,0
আউটাতে,আউটানো,no,tm,0
আউটাতেন,আউটানো,no,ap,0
আউটাতেন,আউটানো,no,eR,0
আউটাতেন,আউটানো,no,in,0
আউটান,আউটানো,bo,ap,0
আউটান,আউটানো,sb,ap,0
আউটান,আউটানো,sb,eR,0
আউটান,আউটানো,sb,in,0
আউটাব,আউটানো,sv,am,0
আউটাবি,আউটানো,sv,tu,0
আউটাবি,আউটানো,vo,tu,0
আউটাবে,আউটানো,sv,ae,0
আউটাবে,আউটানো,sv,er,0
আউটাবে,আউটানো,sv,tm,0
আউটাবে,আউটানো,vo,tm,0
আউটাবেন,আউটানো,sv,ap,0
আউটাবেন,আউটানো,sv,eR,0
আউটাবেন,আউটানো,sv,in,0
আউটাবেন,আউটানো,vo,ap,0
আউটাবো,আউটানো,sv,am,0
আউটাল,আউটানো,so,ae,0
আউটাল,আউটানো,so,er,0
আউটালাম,আউটানো,so,am,0
আউটালি,আউটানো,so,tu,0
আউটালে,আউটানো,so,tm,0
আউটালেন,আউটানো,so,ap,0
আউটালেন,আউটানো,so,eR,0
আউটালেন,আউটানো,so,in,0
আউটাস,আউটানো,sb,tu,0
আউটায়,আউটানো,sb,ae,0
আউটায়,আউটানো,sb,er,0
আউটি,আউটা,sb,am,0
আউটিস,আউটা,sb,tu,0
আউটিয়েছ,আউটানো,pb,tm,0
আউটিয়েছি,আউটানো,pb,am,0
আউটিয়েছিল,আউটানো,po,ae,0
আউটিয়েছিল,আউটানো,po,er,0
আউটিয়েছিলাম,আউটানো,po,am,0
আউটিয়েছিলি,আউটানো,po,tu,0
আউটিয়েছিলে,আউটানো,po,tm,0
আউটিয়েছিলেন,আউটানো,po,ap,0
আউটিয়েছিলেন,আউটানো,po,eR,0
আউটিয়েছিলেন,আউটানো,po,in,0
আউটিয়েছিস,আউটানো,pb,tu,0
আউটিয়েছে,আউটানো,pb,ae,0
আউটিয়েছে,আউটানো,pb,er,0
আউটিয়েছেন,আউটানো,pb,ap,0
আউটিয়েছেন,আউটানো,pb,eR,0
আউটিয়েছেন,আউটানো,pb,in,0
