,verb,Ami,Tumi,Tui,Apni,Shey,,,
153,গুনানো,গুনাইনি,গুনাওনি,গুনাসনি,গুনাননি,গুনায়নি,,,
154,গুলানো,গুলাইনি,গুলাওনি,গুলাসনি,গুলাননি,গুলায়নি,,,
155,গেলা,,,,,,,,
156,গেলানো,গেলাইনি,গেলাওনি,গেলাসনি,গেলাননি,গেলায়নি,,,
157,গড়া,গড়িনি,গড়োনি,গড়িসনি,গড়েননি,গড়েনি,,,
158,ঘটানো,ঘটাইনি,ঘটাওনি,ঘটাসনি,ঘটাননি,ঘটায়নি,,,
159,ঘনানো,ঘনাইনি,ঘনাওনি,ঘনাসনি,ঘনাননি,ঘনায়নি,,,
160,ঘবড়া,ঘবড়াইনি,ঘবড়াওনি,ঘবড়াসনি,ঘবড়াননি,ঘবড়ায়নি,,,
161,ঘষা,ঘষিনি,ঘষোনি,ঘষিসনি,ঘষেননি,ঘষেনি,,,
162,ঘষানো,ঘষাইনি,ঘষাওনি,ঘষাসনি,ঘষাননি,ঘষায়নি,,,
163,ঘাঁটা,ঘাঁটিনি,ঘাঁটো,ঘাঁটোনি,ঘাঁটেননি,ঘাঁটেনি,,,
164,ঘাবড়ানো,ঘাবড়াইনি,ঘাবড়াওনি,ঘাবড়াসনি,ঘাবননি,ঘাবড়ায়নি,,,
165,ঘাবড়ানো,,,,,,,,
166,ঘােরা,ঘুরিনি,ঘােরোনি,ঘুরিসনি,ঘােরেননি,ঘােরেনি,,,
,ঘােরানো,ঘােরাইনি,ঘােরাওনি,ঘােরাসনি,ঘােরাননি,ঘােরায়নি,,,
167,ঘােলানো,ঘােলাইনি,ঘােলাওনি,ঘােলাসনি,ঘােলাননি,ঘােলায়নি,,,
168,ঘিরা,ঘিরিনি,ঘেরোনি,ঘিরিসনি,ঘেরেননি,ঘিরেনি,,,
169,ঘিরানো,ঘিরাইনি,ঘিরাওনি,ঘিরাসনি,ঘিরাননি,ঘিরায়নি,,,
170,ঘুচানো,ঘুচাইনি,ঘুচাওনি,ঘুচাসনি,ঘুচাননি,ঘুচায়নি,,,
171,ঘুটা,ঘুটিনি,ঘুটোনি,ঘুটিসনি,ঘুটেননি,ঘুটেনি,,,
172,ঘুটানো,ঘুটাইনি,ঘুটাওনি,ঘুটাসনি,ঘুটাননি,ঘুটায়নি,,,
173,ঘুমানো,ঘুমাইনি,ঘুমাওনি,ঘুমাসনি,ঘুমাননি,ঘুমায়নি,,,
174,ঘুলা,ঘুলাইনি,ঘুলোনি,ঘুলিসনি,ঘুলেননি,ঘুলেনি,,,
175,ঘুলানো,ঘুলাইনি,ঘুলাওনি,ঘুলাসনি,ঘুলাননি,ঘুলায়নি,,,
176,ঘুষা,,,,ঘুষোননি,,,,
